Foundry and Welding,"Iron Pourer,Iron Worker"
Brake and Clutch,"Assembler Of Clutches,Brake/ clutch Mfg Worker,Brake Line And Shoe Repairman,Brake Yard Worker,Brake Line And Shoe Installer,Brake And Clutch Repairman,Assembler And Installer Of Brakes,Brake Mechanic,Brake Line And Shoe Installer, Repairman,Brakeman,Auto Mechanic,Brake Worker"
Burner,"Burner Helper,Burner,Burner Installer,Burner Repairman"
Insulation and insulator,"Spray Insulator,Pipe Insulator,Heating Insulator,Checker At Insulation Warehouse,Telephone Cable Insulator And Installer,Heat Systems Installer And Repairman,Electric Cable Insulator And Installer,Refractory Insulator,Heat & Frost,Asbestos Worker,Insulated Household Appliances,Cold Storage Insulator"
"Shipyard, Stevedore, and Longshore","Stevedore,Mechanic (Ships),Shipyard Tooler,Shipyard Dump Keeper,Shipyard Clerk,Shipyard Laborer,Shipyard Worker"
"Carpentry, Masonry, and Insulation","Insulation Helper,Steel Erector,Joiner,Insulator Helper/ Apprentice,Insulation Machinist,Insulation,Lagger,Caulker,Bricklayer,Insulation Worker,Insulator,Insulator Helper"
Structural and Metalworking,"Steel Dipper,Steelfitter,Coppersmith,Steel Worker,Steel Checker,Plater,Sheetmetal Fabricator,Sheetmetal Mechanic"
Maritime,"Boat Builder,Captain,Shipwright,Boat Operator,Marine Carpenter,Shiptender"
Boiler,"Boilermaker Helper,Boiler Supervisor,Boilers Mfg. Plant Worker,Aluminum Worker,Boilermaid,Ash Puller,Boilertender,Apprentice Fitter,Boiler Technician,Boilermaker Supervisor,Boiler Washer,Boiler Inspector,Boiler Tester,Boilerman,Boiler Insulator,Boiler Repair,2nd Helper,Boiler Operator,Boiler Maker,Boiler Plant Operator,Boiler Coverers,Boiler Worker,Boiler Mechanic Helper,Boilermaker,Boiler Tender,Ash Handler"
Supervision and Management,"Production Checker,Ship Supervisor,Hull Foreman,Specifications Supervisor,Maintenance Supervisor,Process Controlman,Material Supervisor,Quarterman,Ship Inspector,Hull Department Supervisor,Supervisor,Ship Superintendent,Quality Control Inspector,Production Controller,General Foreman,Sheetmetal Supervisor"
Tile,"Floor Tile And Linoleum Layer,Tile Worker,Tile Installer,Tile Mechanic,Ceiling Tile Installer,Tile Grinder,Tile Helper,Vinyl Asbestos Floor Tiles Worker,Tile Layer"
Non-industrial,"Teacher,Firefighter"
